Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666454446.9213967,0,57647,0,GPS1_FRAME,42.33575166666667,-71.09989166666666,33.1,327005.4924130517,4689190.9434065,19,T
1666454447.921486,0,57648,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454448.922202,0,57649,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454449.9207609,0,57650,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454450.9210699,0,57651,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454451.9161952,0,57652,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454452.920168,0,57653,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454453.920867,0,57654,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454454.9206178,0,57655,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454455.92066,0,57656,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454456.919789,0,57657,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454457.9200032,0,57658,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454458.920513,0,57659,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454459.9213524,0,57660,0,GPS1_FRAME,42.33575,-71.09988666666666,32.9,327005.89977329655,4689190.748163607,19,T
1666454460.9198022,0,57661,0,GPS1_FRAME,42.33575,-71.09988666666666,33.0,327005.89977329655,4689190.748163607,19,T
1666454461.9144816,0,57662,0,GPS1_FRAME,42.33575,-71.09988666666666,33.0,327005.89977329655,4689190.748163607,19,T
1666454462.9209666,0,57663,0,GPS1_FRAME,42.33575,-71.09988666666666,33.0,327005.89977329655,4689190.748163607,19,T
1666454463.9203017,0,57664,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454464.9201384,0,57665,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454465.9213438,0,57666,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454466.9204338,0,57667,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454467.920645,0,57668,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454468.919361,0,57669,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454469.9194996,0,57670,0,GPS1_FRAME,42.335748333333335,-71.09988666666666,33.0,327005.8952031791,4689190.563092895,19,T
1666454470.9196823,0,57671,0,GPS1_FRAME,42.335746666666665,-71.09988666666666,32.1,327005.8906330618,4689190.378022184,19,T
1666454471.9213355,0,57672,0,GPS1_FRAME,42.33575,-71.09989166666666,31.3,327005.48784292326,4689190.758335787,19,T
1666454472.9147558,0,57673,0,GPS1_FRAME,42.33575833333333,-71.09991,30.7,327004.00028239633,4689191.720987548,19,T
1666454473.9199271,0,57674,0,GPS1_FRAME,42.33577666666667,-71.099935,30.2,327001.9909032638,4689193.807627102,19,T
1666454474.9205089,0,57675,0,GPS1_FRAME,42.3358,-71.09996,29.7,326999.9952361864,4689196.449479416,19,T
